"Bedrijfstakken/branches (SBI 2008) ";"Regio's";"Perioden";"Banen van werknemers in december (x 1 000)"
"D Energievoorziening";"Zuid-Holland (PV)";"2024 december*";"     8.3"
"D Energievoorziening";"Zeeland (PV)";"2024 december*";"     1.3"
"D Energievoorziening";"Noord-Brabant (PV)";"2024 december*";"     5.7"
"D Energievoorziening";"Limburg (PV)";"2024 december*";"     2.2"
"E Waterbedrijven en afvalbeheer";"Nederland, Buitenland, Niet in te delen";"2024 december*";"    39.7"
"E Waterbedrijven en afvalbeheer";"Nederland";"2024 december*";"    39.7"
"E Waterbedrijven en afvalbeheer";"Nederland; niet in te delen";"2024 december*";"     0.0"
"E Waterbedrijven en afvalbeheer";"Groningen (PV)";"2024 december*";"     1.4"
"E Waterbedrijven en afvalbeheer";"Fryslân (PV)";"2024 december*";"     1.4"
"E Waterbedrijven en afvalbeheer";"Drenthe (PV)";"2024 december*";"     1.1"
"E Waterbedrijven en afvalbeheer";"Overijssel (PV)";"2024 december*";"       ."
"E Waterbedrijven en afvalbeheer";"Flevoland (PV)";"2024 december*";"     0.6"
"E Waterbedrijven en afvalbeheer";"Gelderland (PV)";"2024 december*";"       ."
"E Waterbedrijven en afvalbeheer";"Utrecht (PV)";"2024 december*";"       ."
"E Waterbedrijven en afvalbeheer";"Noord-Holland (PV)";"2024 december*";"     7.9"
"E Waterbedrijven en afvalbeheer";"Zuid-Holland (PV)";"2024 december*";"     7.5"
"E Waterbedrijven en afvalbeheer";"Zeeland (PV)";"2024 december*";"       ."
"E Waterbedrijven en afvalbeheer";"Noord-Brabant (PV)";"2024 december*";"     6.2"
"E Waterbedrijven en afvalbeheer";"Limburg (PV)";"2024 december*";"     2.5"
"F Bouwnijverheid";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   368.1"
"F Bouwnijverheid";"Nederland";"2024 december*";"   367.1"
"F Bouwnijverheid";"Nederland; niet in te delen";"2024 december*";"     1.0"
"F Bouwnijverheid";"Groningen (PV)";"2024 december*";"    10.6"
"F Bouwnijverheid";"Fryslân (PV)";"2024 december*";"    13.0"
"F Bouwnijverheid";"Drenthe (PV)";"2024 december*";"     9.4"
"F Bouwnijverheid";"Overijssel (PV)";"2024 december*";"    34.7"
"F Bouwnijverheid";"Flevoland (PV)";"2024 december*";"     5.6"
"F Bouwnijverheid";"Gelderland (PV)";"2024 december*";"    48.8"
"F Bouwnijverheid";"Utrecht (PV)";"2024 december*";"    31.4"
"F Bouwnijverheid";"Noord-Holland (PV)";"2024 december*";"    46.5"
"F Bouwnijverheid";"Zuid-Holland (PV)";"2024 december*";"    78.5"
"F Bouwnijverheid";"Zeeland (PV)";"2024 december*";"     8.7"
"F Bouwnijverheid";"Noord-Brabant (PV)";"2024 december*";"    62.6"
"F Bouwnijverheid";"Limburg (PV)";"2024 december*";"    17.3"
"G Handel";"Nederland, Buitenland, Niet in te delen";"2024 december*";"  1484.1"
"G Handel";"Nederland";"2024 december*";"  1481.3"
"G Handel";"Nederland; niet in te delen";"2024 december*";"     2.9"
"G Handel";"Groningen (PV)";"2024 december*";"    40.3"
"G Handel";"Fryslân (PV)";"2024 december*";"    46.7"
"G Handel";"Drenthe (PV)";"2024 december*";"    33.7"
"G Handel";"Overijssel (PV)";"2024 december*";"   103.5"
"G Handel";"Flevoland (PV)";"2024 december*";"    39.1"
"G Handel";"Gelderland (PV)";"2024 december*";"   177.7"
"G Handel";"Utrecht (PV)";"2024 december*";"   123.4"
"G Handel";"Noord-Holland (PV)";"2024 december*";"   264.9"
"G Handel";"Zuid-Holland (PV)";"2024 december*";"   296.6"
"G Handel";"Zeeland (PV)";"2024 december*";"    28.1"
"G Handel";"Noord-Brabant (PV)";"2024 december*";"   240.5"
"G Handel";"Limburg (PV)";"2024 december*";"    86.6"
"H Vervoer en opslag";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   410.5"
"H Vervoer en opslag";"Nederland";"2024 december*";"   410.0"
"H Vervoer en opslag";"Nederland; niet in te delen";"2024 december*";"     0.5"
"H Vervoer en opslag";"Groningen (PV)";"2024 december*";"     7.9"
"H Vervoer en opslag";"Fryslân (PV)";"2024 december*";"    10.7"
"H Vervoer en opslag";"Drenthe (PV)";"2024 december*";"     6.3"
"H Vervoer en opslag";"Overijssel (PV)";"2024 december*";"    26.3"
"H Vervoer en opslag";"Flevoland (PV)";"2024 december*";"     6.0"
"H Vervoer en opslag";"Gelderland (PV)";"2024 december*";"    37.4"
"H Vervoer en opslag";"Utrecht (PV)";"2024 december*";"    35.8"
"H Vervoer en opslag";"Noord-Holland (PV)";"2024 december*";"    89.3"
"H Vervoer en opslag";"Zuid-Holland (PV)";"2024 december*";"    91.3"
"H Vervoer en opslag";"Zeeland (PV)";"2024 december*";"     7.8"
"H Vervoer en opslag";"Noord-Brabant (PV)";"2024 december*";"    62.3"
"H Vervoer en opslag";"Limburg (PV)";"2024 december*";"    28.9"
