"Bedrijfstakken/branches (SBI 2008) ";"Perioden";"Regio's";"Banen van werknemers in december (x 1 000)"
"K Financiële dienstverlening";"2024 december*";"Zwolle";"     2.3"
"K Financiële dienstverlening";"2024 december*";"Gorinchem (AM)";"     0.7"
"L Verhuur en handel van onroerend goed";"2024 december*";"Nederland, Buitenland, Niet in te delen";"    79.3"
"L Verhuur en handel van onroerend goed";"2024 december*";"Zuid-Nederland (LD)";"    14.6"
"L Verhuur en handel van onroerend goed";"2024 december*";"Groningen (PV)";"     2.4"
"L Verhuur en handel van onroerend goed";"2024 december*";"Midden-Limburg (CR)";"     0.8"
"L Verhuur en handel van onroerend goed";"2024 december*";"Zwolle";"     0.8"
"L Verhuur en handel van onroerend goed";"2024 december*";"Gorinchem (AM)";"     0.5"
"M Specialistische zakelijke diensten";"2024 december*";"Nederland, Buitenland, Niet in te delen";"   628.0"
"M Specialistische zakelijke diensten";"2024 december*";"Zuid-Nederland (LD)";"   111.6"
"M Specialistische zakelijke diensten";"2024 december*";"Groningen (PV)";"    13.1"
"M Specialistische zakelijke diensten";"2024 december*";"Midden-Limburg (CR)";"     4.5"
"M Specialistische zakelijke diensten";"2024 december*";"Zwolle";"     6.6"
"M Specialistische zakelijke diensten";"2024 december*";"Gorinchem (AM)";"     4.4"
"N Verhuur en overige zakelijke diensten";"2024 december*";"Nederland, Buitenland, Niet in te delen";"   966.1"
"N Verhuur en overige zakelijke diensten";"2024 december*";"Zuid-Nederland (LD)";"   221.3"
"N Verhuur en overige zakelijke diensten";"2024 december*";"Groningen (PV)";"    29.5"
"N Verhuur en overige zakelijke diensten";"2024 december*";"Midden-Limburg (CR)";"     7.5"
"N Verhuur en overige zakelijke diensten";"2024 december*";"Zwolle";"     9.7"
"N Verhuur en overige zakelijke diensten";"2024 december*";"Gorinchem (AM)";"     8.0"
"O Openbaar bestuur en overheidsdiensten";"2024 december*";"Nederland, Buitenland, Niet in te delen";"   638.0"
"O Openbaar bestuur en overheidsdiensten";"2024 december*";"Zuid-Nederland (LD)";"   106.1"
"O Openbaar bestuur en overheidsdiensten";"2024 december*";"Groningen (PV)";"    25.6"
"O Openbaar bestuur en overheidsdiensten";"2024 december*";"Midden-Limburg (CR)";"     5.9"
